ลำดับ,จังหวัดภูมิลำเนา,จังหวัดสถานที่ติดต่อได้,จังหวัดสถานที่ทำงาน,สถานะใบอนุญาต
1,,กรุงเทพมหานคร,,ปกติ
2,,,,ปกติ
3,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
4,,กรุงเทพมหานคร,,ปกติ
5,,กรุงเทพมหานคร,,ปกติ
6,,กรุงเทพมหานคร,,ปกติ
7,,กรุงเทพมหานคร,,ปกติ
8,,กรุงเทพมหานคร,,ปกติ
9,,กรุงเทพมหานคร,,ปกติ
10,,กรุงเทพมหานคร,,ปกติ
11,,,,ปกติ
12,,กรุงเทพมหานคร,,ปกติ
13,,กรุงเทพมหานคร,,ปกติ
14,,กรุงเทพมหานคร,,ปกติ
15,,กรุงเทพมหานคร,,ปกติ
16,,กรุงเทพมหานคร,,ปกติ
17,,กรุงเทพมหานคร,,ปกติ
18,,กรุงเทพมหานคร,,ปกติ
19,,กรุงเทพมหานคร,,ปกติ
20,,กรุงเทพมหานคร,,ปกติ
21,,นนทบุรี,,ปกติ
22,,กรุงเทพมหานคร,,ปกติ
23,,กรุงเทพมหานคร,,ปกติ
24,,,,ปกติ
25,,กรุงเทพมหานคร,,ปกติ
26,,,,ปกติ
27,,กรุงเทพมหานคร,,ปกติ
28,,กรุงเทพมหานคร,,ปกติ
29,,,,ปกติ
30,,,,ปกติ
31,,กรุงเทพมหานคร,,ปกติ
32,,,,ปกติ
33,,,,ปกติ
34,,สิงห์บุรี,,ปกติ
35,,กรุงเทพมหานคร,,ปกติ
36,,กรุงเทพมหานคร,,ปกติ
37,,กรุงเทพมหานคร,,ปกติ
38,,,,ปกติ
39,,กรุงเทพมหานคร,,ปกติ
40,,กรุงเทพมหานคร,ปทุมธานี,ปกติ
41,,นนทบุรี,,ปกติ
42,,กรุงเทพมหานคร,,ปกติ
43,,กรุงเทพมหานคร,,ปกติ
44,,กรุงเทพมหานคร,,ปกติ
45,,,,ปกติ
46,,,,ปกติ
47,,กรุงเทพมหานคร,,ปกติ
48,,,,ปกติ
49,,,,ปกติ
50,,กรุงเทพมหานคร,,ปกติ
51,,,,ปกติ
52,,กรุงเทพมหานคร,,ปกติ
53,,นนทบุรี,,ปกติ
54,,กรุงเทพมหานคร,,ปกติ
55,,กรุงเทพมหานคร,,ปกติ
56,,กรุงเทพมหานคร,,ปกติ
57,,เชียงใหม่,,ปกติ
58,,นนทบุรี,,ปกติ
59,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
60,,นนทบุรี,,ปกติ
61,,,,ปกติ
62,,กรุงเทพมหานคร,,ปกติ
63,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
64,,กรุงเทพมหานคร,,ปกติ
65,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
66,,,,ปกติ
67,,กรุงเทพมหานคร,,ปกติ
68,,กรุงเทพมหานคร,,ปกติ
69,,กรุงเทพมหานคร,ปทุมธานี,ปกติ
70,,กรุงเทพมหานคร,,ปกติ
71,,กรุงเทพมหานคร,,ปกติ
72,,กรุงเทพมหานคร,,ปกติ
73,,กรุงเทพมหานคร,,ปกติ
74,,นนทบุรี,,ปกติ
75,,กรุงเทพมหานคร,,ปกติ
76,,กรุงเทพมหานคร,,ปกติ
77,,กรุงเทพมหานคร,,ปกติ
78,,กรุงเทพมหานคร,,ปกติ
79,,กรุงเทพมหานคร,,ปกติ
80,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
81,,กรุงเทพมหานคร,,ปกติ
82,,กรุงเทพมหานคร,,ปกติ
83,,,,ปกติ
84,,,,ปกติ
85,,สมุทรปราการ,,ปกติ
86,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
87,,กรุงเทพมหานคร,,ปกติ
88,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
89,,,,ปกติ
90,,กรุงเทพมหานคร,,ปกติ
91,,กรุงเทพมหานคร,,ปกติ
92,,ลำปาง,,ปกติ
93,,กรุงเทพมหานคร,ขอนแก่น,ปกติ
94,,กรุงเทพมหานคร,,ปกติ
95,,กรุงเทพมหานคร,,ปกติ
96,,อุดรธานี,อุดรธานี,ปกติ
97,,กรุงเทพมหานคร,,ปกติ
98,,เชียงใหม่,,ปกติ
99,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
100,,กรุงเทพมหานคร,,ปกติ
101,,ราชบุรี,,ปกติ
102,,กรุงเทพมหานคร,,ปกติ
103,,สมุทรปราการ,,ปกติ
104,,กรุงเทพมหานคร,,ปกติ
105,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
106,,,,ปกติ
107,,ชลบุรี,,ปกติ
108,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
109,,กรุงเทพมหานคร,,ปกติ
110,,,,ปกติ
111,,,,ปกติ
112,,กรุงเทพมหานคร,,ปกติ
113,,,,ปกติ
114,,กรุงเทพมหานคร,,ปกติ
115,,กรุงเทพมหานคร,,ปกติ
116,,,,ปกติ
117,,กรุงเทพมหานคร,,ปกติ
118,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
119,,กรุงเทพมหานคร,,ปกติ
120,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
121,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
122,,กรุงเทพมหานคร,,ปกติ
123,,กรุงเทพมหานคร,,ปกติ
124,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
125,,,,ปกติ
126,,กรุงเทพมหานคร,,ปกติ
127,,,,ปกติ
128,,กรุงเทพมหานคร,,ปกติ
129,,กรุงเทพมหานคร,,ปกติ
130,,กรุงเทพมหานคร,,ปกติ
131,,,,ปกติ
132,,กรุงเทพมหานคร,,ปกติ
133,,ชุมพร,,ปกติ
134,,กรุงเทพมหานคร,,ปกติ
135,,นนทบุรี,กรุงเทพมหานคร,ปกติ
136,,นนทบุรี,,ปกติ
137,,,,ปกติ
138,,กรุงเทพมหานคร,,ปกติ
139,,นครราชสีมา,,ปกติ
140,,กรุงเทพมหานคร,,ปกติ
141,,จันทบุรี,จันทบุรี,ปกติ
142,,ชลบุรี,,ปกติ
143,,กรุงเทพมหานคร,,ปกติ
144,,กรุงเทพมหานคร,,ปกติ
145,,นครปฐม,นครปฐม,ปกติ
146,,กรุงเทพมหานคร,,ปกติ
147,,กรุงเทพมหานคร,,ปกติ
148,,อุดรธานี,,ปกติ
149,,ราชบุรี,,ปกติ
150,,กรุงเทพมหานคร,,ปกติ
151,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
152,,,,ปกติ
153,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
154,,กรุงเทพมหานคร,,ปกติ
155,,กรุงเทพมหานคร,,ปกติ
156,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
157,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
158,,กรุงเทพมหานคร,,ปกติ
159,,กรุงเทพมหานคร,,ปกติ
160,,กรุงเทพมหานคร,,ปกติ
161,,ลพบุรี,,ปกติ
162,,กรุงเทพมหานคร,,ปกติ
163,,กรุงเทพมหานคร,,ปกติ
164,,,,ปกติ
165,,,,ปกติ
166,,,,ปกติ
167,,เชียงใหม่,,ปกติ
168,,เชียงใหม่,,ปกติ
169,,ฉะเชิงเทรา,,ปกติ
170,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
171,,กรุงเทพมหานคร,,ปกติ
172,,เชียงใหม่,,ปกติ
173,,นนทบุรี,,ปกติ
174,,กรุงเทพมหานคร,นนทบุรี,ปกติ
175,,กรุงเทพมหานคร,,ปกติ
176,,กรุงเทพมหานคร,,ปกติ
177,,กรุงเทพมหานคร,,ปกติ
178,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
179,,กรุงเทพมหานคร,,ปกติ
180,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
181,,กรุงเทพมหานคร,,ปกติ
182,,กรุงเทพมหานคร,,ปกติ
183,,กรุงเทพมหานคร,,ปกติ
184,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
185,,กรุงเทพมหานคร,,ปกติ
186,,,,ปกติ
187,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
188,,,,ปกติ
189,,,,ปกติ
190,,,,ปกติ
191,,กรุงเทพมหานคร,,ปกติ
192,,เพชรบุรี,,ปกติ
193,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
194,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
195,,กรุงเทพมหานคร,,ปกติ
196,,,,ปกติ
197,,สุโขทัย,สุโขทัย,ปกติ
198,,กรุงเทพมหานคร,,ปกติ
199,,กรุงเทพมหานคร,,ปกติ
200,,,,ปกติ
201,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
202,,กรุงเทพมหานคร,,ปกติ
203,,,,ปกติ
204,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
205,,,,ปกติ
206,,กรุงเทพมหานคร,,ปกติ
207,,,,ปกติ
208,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
209,,กรุงเทพมหานคร,,ปกติ
210,,กรุงเทพมหานคร,,ปกติ
211,,กรุงเทพมหานคร,,ปกติ
212,,,,ปกติ
213,,สระบุรี,,ปกติ
214,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
215,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
216,,กรุงเทพมหานคร,,ปกติ
217,,กรุงเทพมหานคร,,ปกติ
218,,นนทบุรี,กรุงเทพมหานคร,ปกติ
219,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
220,,สมุทรปราการ,,ปกติ
221,,กรุงเทพมหานคร,,ปกติ
222,,กรุงเทพมหานคร,,ปกติ
223,,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
224,,,,ปกติ
225,,,,ปกติ
226,,,,ปกติ
227,,กรุงเทพมหานคร,,ปกติ
228,,,,ปกติ
229,,กรุงเทพมหานคร,,ปกติ
230,,กรุงเทพมหานคร,,ปกติ
231,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
232,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
233,,,,ปกติ
234,สมุทรสงคราม,สมุทรสงคราม,นนทบุรี,ปกติ
235,,กรุงเทพมหานคร,,ปกติ
236,,กรุงเทพมหานคร,,ปกติ
237,,,,ปกติ
238,,กรุงเทพมหานคร,,ปกติ
239,,นนทบุรี,,ปกติ
240,,,,ปกติ
241,,กรุงเทพมหานคร,,ปกติ
242,,กรุงเทพมหานคร,,ปกติ
243,,กรุงเทพมหานคร,,ปกติ
244,,,,ปกติ
245,,,,ปกติ
